play_type,rate_min,rate_max,multiplier
batting,,0,1
batting,0,0.4,0.5
batting,0.4,0.5,0.6
batting,0.5,0.6,0.7
batting,0.6,0.7,0.8
batting,0.7,0.8,0.9
batting,0.8,1.2,1
batting,1.2,1.4,1.1
batting,1.4,1.5,1.2
batting,1.5,1.6,1.3
batting,1.6,1.7,1.4
batting,1.7,,1.5
bowling,,0,1
bowling,0,0.4,0.5
bowling,0.4,0.5,0.6
bowling,0.5,0.6,0.7
bowling,0.6,0.7,0.8
bowling,0.7,0.8,0.9
bowling,0.8,1.2,1
bowling,1.2,1.4,1.1
bowling,1.4,1.5,1.2
bowling,1.5,1.6,1.3
bowling,1.6,1.7,1.4
bowling,1.7,,1.5
