tournament_key,date,venue,season,team1,team2,stage
ipl,26/3/22,"Wankhede Stadium, Mumbai",2022,Chennai Super Kings,Kolkata Knight Riders,
ipl,27/3/22,"Dr DY Patil Sports Academy, Mumbai",2022,Royal Challengers Bangalore,Punjab Kings,
ipl,27/3/22,"Brabourne Stadium, Mumbai",2022,Mumbai Indians,Delhi Capitals,
ipl,28/3/22,"Wankhede Stadium, Mumbai",2022,Lucknow Super Giants,Gujarat Titans,
ipl,29/3/22,"Maharashtra Cricket Association Stadium, Pune",2022,Rajasthan Royals,Sunrisers Hyderabad,
ipl,30/3/22,"Dr DY Patil Sports Academy, Mumbai",2022,Kolkata Knight Riders,Royal Challengers Bangalore,
ipl,31/3/22,"Brabourne Stadium, Mumbai",2022,Chennai Super Kings,Lucknow Super Giants,
ipl,1/4/22,"Wankhede Stadium, Mumbai",2022,Punjab Kings,Kolkata Knight Riders,
ipl,2/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Rajasthan Royals,Mumbai Indians,
ipl,2/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Gujarat Titans,Delhi Capitals,
ipl,3/4/22,"Brabourne Stadium, Mumbai",2022,Punjab Kings,Chennai Super Kings,
ipl,4/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Lucknow Super Giants,Sunrisers Hyderabad,
ipl,5/4/22,"Wankhede Stadium, Mumbai",2022,Rajasthan Royals,Royal Challengers Bangalore,
ipl,6/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Mumbai Indians,Kolkata Knight Riders,
ipl,7/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Delhi Capitals,Lucknow Super Giants,
ipl,8/4/22,"Brabourne Stadium, Mumbai",2022,Punjab Kings,Gujarat Titans,
ipl,9/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Mumbai Indians,Royal Challengers Bangalore,
ipl,9/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Chennai Super Kings,Sunrisers Hyderabad,
ipl,10/4/22,"Brabourne Stadium, Mumbai",2022,Delhi Capitals,Kolkata Knight Riders,
ipl,10/4/22,"Wankhede Stadium, Mumbai",2022,Rajasthan Royals,Lucknow Super Giants,
ipl,11/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Gujarat Titans,Sunrisers Hyderabad,
ipl,12/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Chennai Super Kings,Royal Challengers Bangalore,
ipl,13/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Punjab Kings,Mumbai Indians,
ipl,14/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Gujarat Titans,Rajasthan Royals,
ipl,15/4/22,"Brabourne Stadium, Mumbai",2022,Kolkata Knight Riders,Sunrisers Hyderabad,
ipl,16/4/22,"Wankhede Stadium, Mumbai",2022,Royal Challengers Bangalore,Delhi Capitals,
ipl,16/4/22,"Brabourne Stadium, Mumbai",2022,Lucknow Super Giants,Mumbai Indians,
ipl,17/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Chennai Super Kings,Gujarat Titans,
