team,player_key,player_name
MI Emirates,AFr1187,ADS Fletcher
MI Emirates,WSd3762,WCF Smeed
MI Emirates,DBo1795,DM Bravo
MI Emirates,KPd513,KA Pollard
MI Emirates,NPn514,N Pooran
MI Emirates,SPl1152,SR Patel
MI Emirates,BdLe373,BFW de Leede
MI Emirates,ITr445,Imran Tahir
MI Emirates,FFi960,Fazalhaq Farooqi
MI Emirates,NZn205,Najibullah Zadran
MI Emirates,TBt732,TA Boult
AD Knight Riders,JBw476,JM Bairstow
AD Knight Riders,PSg189,PR Stirling
AD Knight Riders,CIm787,CA Ingram
AD Knight Riders,ARl347,AD Russell
AD Knight Riders,KAa381,KIC Asalanka
AD Knight Riders,SNe348,SP Narine
AD Knight Riders,AHn988,AJ Hosein
AD Knight Riders,SPa337,S Prasanna
AD Knight Riders,AKn2363,Ali Khan
AD Knight Riders,RRl1766,R Rampaul
AD Knight Riders,CKa368,CBRLS Kumara
Dubai Capitals,PRa382,PBB Rajapaksa
Dubai Capitals,Hh520,Hazratullah
Dubai Capitals,IUa300,I Udana
Dubai Capitals,RPl516,R Powell
Dubai Capitals,SRa329,Sikandar Raza
Dubai Capitals,MSa296,MD Shanaka
Dubai Capitals,MURn209,Mujeeb Ur Rahman
Dubai Capitals,FAn508,FA Allen
Dubai Capitals,DLe2932,DW Lawrence
Dubai Capitals,PCa302,PVD Chameera
Dubai Capitals,BMi1460,B Muzarabani
Sharjah Warriors,DMn159,DJ Malan
Sharjah Warriors,ELs512,E Lewis
Sharjah Warriors,TKe3706,T Kohler-Cadmore
Sharjah Warriors,MAi595,MM Ali
Sharjah Warriors,CWs853,CR Woakes
Sharjah Warriors,MNi204,Mohammad Nabi
Sharjah Warriors,RGz200,Rahmanullah Gurbaz
Sharjah Warriors,JSt1520,JJ Smit
Sharjah Warriors,BKn651,Bilal Khan
Sharjah Warriors,NAd1571,Noor Ahmad
Sharjah Warriors,Nq210,Naveen-ul-Haq
Desert Vipers,AHs158,AD Hales
Desert Vipers,CMo725,C Munro
Desert Vipers,SBs162,SW Billings
Desert Vipers,SRd893,SE Rutherford
Desert Vipers,unknown_player_key,Wanindu Hasaranga
Desert Vipers,TCn166,TK Curran
Desert Vipers,BDt1064,BM Duckett
Desert Vipers,BHl2976,BAC Howell
Desert Vipers,SMd920,S Mahmood
Desert Vipers,SLe556,S Lamichhane
Desert Vipers,SCl734,SS Cottrell
Gulf Giants,SHr892,SO Hetmyer
Gulf Giants,TBn918,T Banton
Gulf Giants,CLn170,CA Lynn
Gulf Giants,JVe475,JM Vince
Gulf Giants,OPe4137,OJ Pope
Gulf Giants,DDs989,DC Drakes
Gulf Giants,DWe1472,D Wiese
Gulf Giants,LDn477,LA Dawson
Gulf Giants,QAd208,Qais Ahmad
Gulf Giants,JOn3932,J Overton
Gulf Giants,CJn164,CJ Jordan
