tournament_key,date,venue,season,team1,team2,stage
ilt20,13/1/23,"Dubai International Cricket Stadium, Dubai",2023,Dubai Capitals,Abu Dhabi Knight Riders,league
ilt20,14/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,MI Emirates,Sharjah Warriors,league
ilt20,15/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Abu Dhabi Knight Riders,Gulf Giants,league
ilt20,15/1/23,"Dubai International Cricket Stadium, Dubai",2023,Desert Vipers,Sharjah Warriors,league
ilt20,16/1/23,"Dubai International Cricket Stadium, Dubai",2023,Dubai Capitals,Gulf Giants,league
ilt20,17/1/23,"Sharjah Cricket Stadium, Sharjah",2023,Sharjah Warriors,MI Emirates,league
ilt20,18/1/23,"Dubai International Cricket Stadium, Dubai",2023,Abu Dhabi Knight Riders,Desert Vipers,league
ilt20,19/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Dubai Capitals,Gulf Giants,league
ilt20,20/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Abu Dhabi Knight Riders,Desert Vipers,league
ilt20,21/1/23,"Dubai International Cricket Stadium, Dubai",2023,Dubai Capitals,Sharjah Warriors,league
ilt20,21/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Abu Dhabi Knight Riders,MI Emirates,league
ilt20,22/1/23,"Dubai International Cricket Stadium, Dubai",2023,Desert Vipers,Gulf Giants,league
ilt20,23/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Dubai Capitals,MI Emirates,league
ilt20,24/1/23,"Dubai International Cricket Stadium, Dubai",2023,Gulf Giants,Sharjah Warriors,league
ilt20,24/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Desert Vipers,MI Emirates,league
ilt20,25/1/23,"Dubai International Cricket Stadium, Dubai",2023,Abu Dhabi Knight Riders,Gulf Giants,league
ilt20,26/1/23,"Sharjah Cricket Stadium, Sharjah",2023,Sharjah Warriors,Dubai Capitals,league
ilt20,27/1/23,"Dubai International Cricket Stadium, Dubai",2023,Gulf Giants,MI Emirates,league
ilt20,28/1/23,"Sharjah Cricket Stadium, Sharjah",2023,Sharjah Warriors,Abu Dhabi Knight Riders,league
ilt20,28/1/23,"Dubai International Cricket Stadium, Dubai",2023,Dubai Capitals,Desert Vipers,league
ilt20,29/1/23,"Sharjah Cricket Stadium, Sharjah",2023,Desert Vipers,MI Emirates,league
ilt20,30/1/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Abu Dhabi Knight Riders,Dubai Capitals,league
ilt20,31/1/23,"Sharjah Cricket Stadium, Sharjah",2023,Sharjah Warriors,Desert Vipers,league
ilt20,1/2/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Gulf Giants,MI Emirates,league
ilt20,2/2/23,"Dubai International Cricket Stadium, Dubai",2023,Dubai Capitals,Desert Vipers,league
ilt20,3/2/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Abu Dhabi Knight Riders,MI Emirates,league
ilt20,4/2/23,"Dubai International Cricket Stadium, Dubai",2023,Desert Vipers,Gulf Giants,league
ilt20,4/2/23,"Sheikh Zayed Stadium, Abu Dhabi",2023,Abu Dhabi Knight Riders,Sharjah Warriors,league
ilt20,5/2/23,"Dubai International Cricket Stadium, Dubai",2023,Dubai Capitals,MI Emirates,league
ilt20,6/2/23,"Sharjah Cricket Stadium, Sharjah",2023,Sharjah Warriors,Gulf Giants,league
ilt20,8/2/23,"Dubai International Cricket Stadium, Dubai",2023,,,Qualifier 1
ilt20,9/2/23,"Sharjah Cricket Stadium, Sharjah",2023,,,Eliminator
ilt20,10/2/23,"Dubai International Cricket Stadium, Dubai",2023,,,Qualifier 2
ilt20,12/2/23,"Dubai International Cricket Stadium, Dubai",2023,,,Final
