team,player_key,player_name
Islamabad United,AHs158,AD Hales
Islamabad United,PSg189,PR Stirling
Islamabad United,RGz200,Rahmanullah Gurbaz
Islamabad United,AAi519,Asif Ali
Islamabad United,SKn433,Shadab Khan
Islamabad United,FFi960,Fazalhaq Farooqi
Islamabad United,AKn1051,Azam Khan
Islamabad United,MAi595,MM Ali
Islamabad United,MWm1052,Mohammad Wasim
Islamabad United,HAi435,Hasan Ali
Islamabad United,SMd715,Sohaib Maqsood
Karachi Kings,JVe475,JM Vince
Karachi Kings,ITr445,Imran Tahir
Karachi Kings,SKn1050,Sharjeel Khan
Karachi Kings,IWm431,Imad Wasim
Karachi Kings,MAr1253,Mohammad Amir
Karachi Kings,MWe834,MS Wade
Karachi Kings,ATe175,AJ Tye
Karachi Kings,HAi917,Haider Ali
Karachi Kings,QAm3774,Qasim Akram
Karachi Kings,SMk250,Shoaib Malik
Karachi Kings,MHa3747,Mir Hamza
Lahore Qalandars,HBk1061,HC Brook
Lahore Qalandars,SRa329,Sikandar Raza
Lahore Qalandars,DWe1472,D Wiese
Lahore Qalandars,RKn207,Rashid Khan
Lahore Qalandars,SSAi523,Shaheen Shah Afridi
Lahore Qalandars,LDn477,LA Dawson
Lahore Qalandars,FZn428,Fakhar Zaman
Lahore Qalandars,ASe1864,Abdullah Shafique
Lahore Qalandars,HRf522,Haris Rauf
Lahore Qalandars,ZKn3741,Zaman Khan
Lahore Qalandars,BMs481,BKG Mendis
Multan Sultans,RRw961,RR Rossouw
Multan Sultans,KSh1068,Khushdil Shah
Multan Sultans,TDd1363,TH David
Multan Sultans,ARd165,AU Rashid
Multan Sultans,MRn521,Mohammad Rizwan
Multan Sultans,SMd1066,Shan Masood
Multan Sultans,DMr440,DA Miller
Multan Sultans,JLe198,J Little
Multan Sultans,SDi1071,Shahnawaz Dhani
Multan Sultans,UMr3109,Usama Mir
Multan Sultans,KPd513,KA Pollard
Peshawar Zalmi,MHs1960,Mohammad Haris
Peshawar Zalmi,WRz717,Wahab Riaz
Peshawar Zalmi,RPl516,R Powell
Peshawar Zalmi,MURn209,Mujeeb ur Rahman
Peshawar Zalmi,BAm427,Babar Azam
Peshawar Zalmi,SAb3767,Saim Ayub
Peshawar Zalmi,TKe3706,T Kohler-Cadmore
Peshawar Zalmi,PRa382,PBB Rajapaksa
Peshawar Zalmi,UQr1053,Usman Qadir
Peshawar Zalmi,AJl2694,Aamer Jamal
Peshawar Zalmi,JNm399,JDS Neesham
Quetta Gladiators,IAd1067,Iftikhar Ahmed
Quetta Gladiators,MNz1069,Mohammad Nawaz
Quetta Gladiators,PdSa297,PWH de Silva
Quetta Gladiators,MGl395,MJ Guptill
Quetta Gladiators,NSh1992,Naseem Shah
Quetta Gladiators,JRy157,JJ Roy
Quetta Gladiators,WSd3762,WCF Smeed
Quetta Gladiators,SAd430,Sarfraz Ahmed
Quetta Gladiators,UAl251,Umar Akmal
Quetta Gladiators,MHn1070,Mohammad Hasnain
Quetta Gladiators,NTa2602,N Thushara
