team,player_key
Dubai Daredevils,ASa3461
Dubai Daredevils,KWn726
Dubai Daredevils,RTi3462
Dubai Daredevils,AMm964
Dubai Daredevils,NPn514
Dubai Daredevils,WSr946
Dubai Daredevils,SSh3463
Dubai Daredevils,MJn2600
Dubai Daredevils,BKr287
Dubai Daredevils,TNn2447
Dubai Daredevils,UMk1846
Gujarat Titans,WSa3464
Gujarat Titans,SGl3465
Gujarat Titans,HPa719
Gujarat Titans,DMr440
Gujarat Titans,RTa3459
Gujarat Titans,AMr3466
Gujarat Titans,RKn207
Gujarat Titans,LFn403
Gujarat Titans,AJh2407
Gujarat Titans,YDl3467
Gujarat Titans,MSi1186
Punjab Kings,MAl3458
Punjab Kings,SDn283
Punjab Kings,JBw476
Punjab Kings,LLe1627
Punjab Kings,JSa3472
Punjab Kings,MSKn3473
Punjab Kings,OSh987
Punjab Kings,KRa603
Punjab Kings,RCr290
Punjab Kings,VAa3474
Punjab Kings,ASh1994
Mumbai Indians,RSa605
Mumbai Indians,IKn1380
Mumbai Indians,DBs3166
Mumbai Indians,TVa3475
Mumbai Indians,SYv968
Mumbai Indians,KPd513
Mumbai Indians,JUt2172
Mumbai Indians,MAn3471
Mumbai Indians,JBh724
Mumbai Indians,TMs479
Mumbai Indians,BTi3476
Rajasthan Royals,JBr161
Rajasthan Royals,DPl284
Rajasthan Royals,SSn285
Rajasthan Royals,DMl398
Rajasthan Royals,SHr892
Rajasthan Royals,RPg3493
Rajasthan Royals,RAn610
Rajasthan Royals,TBt732
Rajasthan Royals,MPKa3494
Rajasthan Royals,YCl723
Rajasthan Royals,KSn3495
Mumbai Indians,RSa605
Mumbai Indians,IKn1380
Mumbai Indians,SYv968
Mumbai Indians,TVa3475
Mumbai Indians,KPd513
Mumbai Indians,TDd1363
Mumbai Indians,DSs1552
Mumbai Indians,HSn3496
Mumbai Indians,KKa3497
Mumbai Indians,JBh724
Mumbai Indians,RMh2338
Chennai Super Kings,RUa1125
Chennai Super Kings,RGd282
Chennai Super Kings,MAi595
Chennai Super Kings,SDe944
Chennai Super Kings,ARu2333
Chennai Super Kings,RJa609
Chennai Super Kings,MDi608
Chennai Super Kings,DPs889
Chennai Super Kings,DBo344
Chennai Super Kings,TDe3521
Chennai Super Kings,MCy3522
Lucknow Super Giants,KRl943
Lucknow Super Giants,QdKk597
Lucknow Super Giants,MPy915
Lucknow Super Giants,ELs512
Lucknow Super Giants,DHa1844
Lucknow Super Giants,ABi3523
Lucknow Super Giants,KPa1178
Lucknow Super Giants,PCa302
Lucknow Super Giants,ATe175
Lucknow Super Giants,RBi1845
Lucknow Super Giants,AKn1993
Sunrisers Hyderabad,PGg3529
Sunrisers Hyderabad,ASa3461
Sunrisers Hyderabad,RTi3462
Sunrisers Hyderabad,AMm964
Sunrisers Hyderabad,NPn514
Sunrisers Hyderabad,WSr946
Sunrisers Hyderabad,RSd896
Sunrisers Hyderabad,JSh3442
Sunrisers Hyderabad,BKr287
Sunrisers Hyderabad,UMk1846
Sunrisers Hyderabad,FFi960
Punjab Kings,JBw476
Punjab Kings,SDn283
Punjab Kings,MSKn3473
Punjab Kings,MAl3458
Punjab Kings,LLe1627
Punjab Kings,JSa3472
Punjab Kings,PMd3530
Punjab Kings,HBr3528
Punjab Kings,KRa603
Punjab Kings,NEs838
Punjab Kings,ASh1994
Rajasthan Royals,YJl3557
Rajasthan Royals,JBr161
Rajasthan Royals,SSn285
Rajasthan Royals,DPl284
Rajasthan Royals,SHr892
Rajasthan Royals,RAn610
Rajasthan Royals,RPg3493
Rajasthan Royals,TBt732
Rajasthan Royals,OMy518
Rajasthan Royals,MPKa3494
Rajasthan Royals,YCl723
Gujarat Titans,WSa3464
Gujarat Titans,SGl3465
Gujarat Titans,MWe834
Gujarat Titans,HPa719
Gujarat Titans,DMr440
Gujarat Titans,RTa3459
Gujarat Titans,RKn207
Gujarat Titans,RSKe3558
Gujarat Titans,LFn403
Gujarat Titans,YDl3467
Gujarat Titans,MSi1186
Royal Challengers Bangalore,VKi607
Royal Challengers Bangalore,FdPs439
Royal Challengers Bangalore,RPr3565
Royal Challengers Bangalore,GMl156
Royal Challengers Bangalore,KKk967
Royal Challengers Bangalore,MLr3566
Royal Challengers Bangalore,SAd3567
Royal Challengers Bangalore,PdSa297
Royal Challengers Bangalore,HPl969
Royal Challengers Bangalore,JHd840
Royal Challengers Bangalore,MSj971
Sunrisers Hyderabad,ASa3461
Sunrisers Hyderabad,KWn726
Sunrisers Hyderabad,RTi3462
Sunrisers Hyderabad,AMm964
Sunrisers Hyderabad,NPn514
Sunrisers Hyderabad,JSh3442
Sunrisers Hyderabad,SSh3463
Sunrisers Hyderabad,KTi3536
Sunrisers Hyderabad,BKr287
Sunrisers Hyderabad,UMk1846
Sunrisers Hyderabad,FFi960
Delhi Capitals,PSw2107
Delhi Capitals,DWr168
Delhi Capitals,RPt945
Delhi Capitals,LYv3543
Delhi Capitals,RPl516
Delhi Capitals,APl721
Delhi Capitals,STr1381
Delhi Capitals,SKn3537
Delhi Capitals,KYv289
Delhi Capitals,MRn830
Delhi Capitals,KAd1449
Kolkata Knight Riders,ARe1184
Kolkata Knight Riders,VIr2222
Kolkata Knight Riders,SIr720
Kolkata Knight Riders,NRa286
Kolkata Knight Riders,ARl347
Kolkata Knight Riders,SBs162
Kolkata Knight Riders,PCs1040
Kolkata Knight Riders,SNe348
Kolkata Knight Riders,UYv970
Kolkata Knight Riders,RSm3460
Kolkata Knight Riders,CVn292
Royal Challengers Bangalore,FdPs439
Royal Challengers Bangalore,ARt3591
Royal Challengers Bangalore,VKi607
Royal Challengers Bangalore,GMl156
Royal Challengers Bangalore,SPi3592
Royal Challengers Bangalore,SAd3567
Royal Challengers Bangalore,KKk967
Royal Challengers Bangalore,PdSa297
Royal Challengers Bangalore,MSj971
Royal Challengers Bangalore,HPl969
Royal Challengers Bangalore,JHd840
Delhi Capitals,PSw2107
Delhi Capitals,DWr168
Delhi Capitals,MMh835
Delhi Capitals,RPt945
Delhi Capitals,RPl516
Delhi Capitals,LYv3543
Delhi Capitals,STr1381
Delhi Capitals,APl721
Delhi Capitals,KYv289
Delhi Capitals,MRn830
Delhi Capitals,KAd1449
Royal Challengers Bangalore,FdPs439
Royal Challengers Bangalore,ARt3591
Royal Challengers Bangalore,VKi607
Royal Challengers Bangalore,KKk967
Royal Challengers Bangalore,SRd893
Royal Challengers Bangalore,DWy163
Royal Challengers Bangalore,SAd3567
Royal Challengers Bangalore,PdSa297
Royal Challengers Bangalore,HPl969
Royal Challengers Bangalore,MSj971
Royal Challengers Bangalore,ADp3604
Punjab Kings,MAl3458
Punjab Kings,SDn283
Punjab Kings,PRa382
Punjab Kings,LLe1627
Punjab Kings,RBa3605
Punjab Kings,MSKn3473
Punjab Kings,OSh987
Punjab Kings,HBr3528
Punjab Kings,ASh1994
Punjab Kings,SSa1444
Punjab Kings,RCr290
Mumbai Indians,RSa605
Mumbai Indians,IKn1380
Mumbai Indians,ASh3510
Mumbai Indians,TVa3475
Mumbai Indians,KPd513
Mumbai Indians,TDd1363
Mumbai Indians,DSs1552
Mumbai Indians,MAn3471
Mumbai Indians,TMs479
Mumbai Indians,JBh724
Mumbai Indians,BTi3476
Delhi Capitals,PSw2107
Delhi Capitals,TSt1402
Delhi Capitals,MSh2332
Delhi Capitals,RPt945
Delhi Capitals,LYv3543
Delhi Capitals,RPl516
Delhi Capitals,STr1381
Delhi Capitals,APl721
Delhi Capitals,KYv289
Delhi Capitals,KAd1449
Delhi Capitals,KNi3534
Lucknow Super Giants,KRl943
Lucknow Super Giants,QdKk597
Lucknow Super Giants,MPy915
Lucknow Super Giants,MSs171
Lucknow Super Giants,DHa1844
Lucknow Super Giants,KPa1178
Lucknow Super Giants,ABi3523
Lucknow Super Giants,JHr515
Lucknow Super Giants,PCa302
Lucknow Super Giants,AKn1993
Lucknow Super Giants,RBi1845
Mumbai Indians,IKn1380
Mumbai Indians,RSa605
Mumbai Indians,DBs3166
Mumbai Indians,SYv968
Mumbai Indians,TVa3475
Mumbai Indians,KPd513
Mumbai Indians,FAn508
Mumbai Indians,JUt2172
Mumbai Indians,MAn3471
Mumbai Indians,JBh724
Mumbai Indians,TMs479
Mumbai Indians,IKn1380
Mumbai Indians,RSa605
Mumbai Indians,DBs3166
Mumbai Indians,SYv968
Mumbai Indians,TVa3475
Mumbai Indians,KPd513
Mumbai Indians,RSh3619
Mumbai Indians,JUt2172
Mumbai Indians,MAn3471
Mumbai Indians,JBh724
Mumbai Indians,BTi3476
Royal Challengers Bangalore,FdPs439
Royal Challengers Bangalore,ARt3591
Royal Challengers Bangalore,VKi607
Royal Challengers Bangalore,KKk967
Royal Challengers Bangalore,GMl156
Royal Challengers Bangalore,DWy163
Royal Challengers Bangalore,SAd3567
Royal Challengers Bangalore,PdSa297
Royal Challengers Bangalore,HPl969
Royal Challengers Bangalore,MSj971
Royal Challengers Bangalore,ADp3604
Chennai Super Kings,RGd282
Chennai Super Kings,DCy1382
Chennai Super Kings,SDe944
Chennai Super Kings,ARu2333
Chennai Super Kings,MDi608
Chennai Super Kings,MAi595
Chennai Super Kings,RUa1125
Chennai Super Kings,DBo344
Chennai Super Kings,SSh3629
Chennai Super Kings,MTa383
Chennai Super Kings,MCy3522
Delhi Capitals,DWr168
Delhi Capitals,KBt3596
Delhi Capitals,MMh835
Delhi Capitals,RPt945
Delhi Capitals,RPl516
Delhi Capitals,RPl3630
Delhi Capitals,APl721
Delhi Capitals,STr1381
Delhi Capitals,KYv289
Delhi Capitals,ANe1413
Delhi Capitals,KAd1449
Kolkata Knight Riders,ARe1184
Kolkata Knight Riders,VIr2222
Kolkata Knight Riders,SIr720
Kolkata Knight Riders,NRa286
Kolkata Knight Riders,SNe348
Kolkata Knight Riders,SBs162
Kolkata Knight Riders,SJn3574
Kolkata Knight Riders,ARl347
Kolkata Knight Riders,TSe731
Kolkata Knight Riders,UYv970
Kolkata Knight Riders,CVn292
Royal Challengers Bangalore,FdPs439
Royal Challengers Bangalore,ARt3591
Royal Challengers Bangalore,VKi607
Royal Challengers Bangalore,DWy163
Royal Challengers Bangalore,SRd893
Royal Challengers Bangalore,SAd3567
Royal Challengers Bangalore,KKk967
Royal Challengers Bangalore,PdSa297
Royal Challengers Bangalore,HPl969
Royal Challengers Bangalore,MSj971
Royal Challengers Bangalore,ADp3604
Lucknow Super Giants,QdKk597
Lucknow Super Giants,KRl943
Lucknow Super Giants,DHa1844
Lucknow Super Giants,MSs171
Lucknow Super Giants,KPa1178
Lucknow Super Giants,ABi3523
Lucknow Super Giants,JHr515
Lucknow Super Giants,MKn2134
Lucknow Super Giants,KGm3511
Lucknow Super Giants,PCa302
Lucknow Super Giants,RBi1845
Delhi Capitals,PSw2107
Delhi Capitals,DWr168
Delhi Capitals,MMh835
Delhi Capitals,RPt945
Delhi Capitals,LYv3543
Delhi Capitals,RPl516
Delhi Capitals,APl721
Delhi Capitals,STr1381
Delhi Capitals,KYv289
Delhi Capitals,MRn830
Delhi Capitals,CSa291
Kolkata Knight Riders,AFh613
Kolkata Knight Riders,VIr2222
Kolkata Knight Riders,SIr720
Kolkata Knight Riders,BIh3638
Kolkata Knight Riders,SNe348
Kolkata Knight Riders,NRa286
Kolkata Knight Riders,ARl347
Kolkata Knight Riders,RSh3587
Kolkata Knight Riders,UYv970
Kolkata Knight Riders,TSe731
Kolkata Knight Riders,HRa3639
Delhi Capitals,PSw2107
Delhi Capitals,DWr168
Delhi Capitals,MMh835
Delhi Capitals,LYv3543
Delhi Capitals,RPt945
Delhi Capitals,RPl516
Delhi Capitals,APl721
Delhi Capitals,STr1381
Delhi Capitals,KYv289
Delhi Capitals,MRn830
Delhi Capitals,CSa291
Chennai Super Kings,RGd282
Chennai Super Kings,RUa1125
Chennai Super Kings,MAi595
Chennai Super Kings,SDe944
Chennai Super Kings,RJa609
Chennai Super Kings,MDi608
Chennai Super Kings,ARu2333
Chennai Super Kings,DBo344
Chennai Super Kings,CJn164
Chennai Super Kings,MTa383
Chennai Super Kings,MCy3522
Royal Challengers Bangalore,FdPs439
Royal Challengers Bangalore,ARt3591
Royal Challengers Bangalore,VKi607
Royal Challengers Bangalore,GMl156
Royal Challengers Bangalore,SAd3567
Royal Challengers Bangalore,SPi3592
Royal Challengers Bangalore,KKk967
Royal Challengers Bangalore,PdSa297
Royal Challengers Bangalore,ADp3604
Royal Challengers Bangalore,MSj971
Royal Challengers Bangalore,JHd840
Chennai Super Kings,RUa1125
Chennai Super Kings,RGd282
Chennai Super Kings,MAi595
Chennai Super Kings,ARu2333
Chennai Super Kings,SDe944
Chennai Super Kings,RJa609
Chennai Super Kings,MDi608
Chennai Super Kings,DBo344
Chennai Super Kings,CJn164
Chennai Super Kings,MTa383
Chennai Super Kings,MCy3522
Sunrisers Hyderabad,ASa3461
Sunrisers Hyderabad,KWn726
Sunrisers Hyderabad,RTi3462
Sunrisers Hyderabad,NPn514
Sunrisers Hyderabad,AMm964
Sunrisers Hyderabad,SSh3463
Sunrisers Hyderabad,WSr946
Sunrisers Hyderabad,BKr287
Sunrisers Hyderabad,MJn2600
Sunrisers Hyderabad,UMk1846
Sunrisers Hyderabad,TNn2447
Chennai Super Kings,RGd282
Chennai Super Kings,RUa1125
Chennai Super Kings,MAi595
Chennai Super Kings,ARu2333
Chennai Super Kings,SDe944
Chennai Super Kings,RJa609
Chennai Super Kings,MDi608
Chennai Super Kings,DBo344
Chennai Super Kings,CJn164
Chennai Super Kings,MTa383
Chennai Super Kings,MCy3522
Gujarat Titans,WSa3464
Gujarat Titans,SGl3465
Gujarat Titans,VSr1177
Gujarat Titans,AMr3466
Gujarat Titans,DMr440
Gujarat Titans,RTa3459
Gujarat Titans,RKn207
Gujarat Titans,AJh2407
Gujarat Titans,LFn403
Gujarat Titans,MSi1186
Gujarat Titans,YDl3467
Rajasthan Royals,JBr161
Rajasthan Royals,YJl3557
Rajasthan Royals,DPl284
Rajasthan Royals,SSn285
Rajasthan Royals,SHr892
