tournament_key,date,venue,season,team1,team2,stage
ipl,26/3/22,"Wankhede Stadium, Mumbai",2022,Chennai Super Kings1,Kolkata Knight Riders1,
ipl,27/3/22,"Dr DY Patil Sports Academy, Mumbai",2022,Royal Challengers Bangalore1,Punjab Kings1,
ipl,27/3/22,"Brabourne Stadium, Mumbai",2022,Mumbai Indians1,Delhi Capitals1,
ipl,28/3/22,"Wankhede Stadium, Mumbai",2022,Lucknow Super Giants1,Gujarat Titans1,
ipl,29/3/22,"Maharashtra Cricket Association Stadium, Pune",2022,Rajasthan Royals1,Dubai Daredevils1,
ipl,30/3/22,"Dr DY Patil Sports Academy, Mumbai",2022,Kolkata Knight Riders1,Royal Challengers Bangalore1,
ipl,31/3/22,"Brabourne Stadium, Mumbai",2022,Chennai Super Kings1,Lucknow Super Giants1,
ipl,1/4/22,"Wankhede Stadium, Mumbai",2022,Punjab Kings1,Kolkata Knight Riders1,
ipl,2/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Rajasthan Royals1,Mumbai Indians1,
ipl,2/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Gujarat Titans1,Delhi Capitals1,
ipl,3/4/22,"Brabourne Stadium, Mumbai",2022,Punjab Kings1,Chennai Super Kings1,
ipl,4/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Lucknow Super Giants1,Dubai Daredevils1,
ipl,5/4/22,"Wankhede Stadium, Mumbai",2022,Rajasthan Royals1,Royal Challengers Bangalore1,
ipl,6/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Mumbai Indians1,Kolkata Knight Riders1,
ipl,7/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Delhi Capitals1,Lucknow Super Giants1,
ipl,8/4/22,"Brabourne Stadium, Mumbai",2022,Punjab Kings1,Gujarat Titans1,
ipl,9/4/22,"Maharashtra Cricket Association Stadium, Pune",2022,Mumbai Indians1,Royal Challengers Bangalore1,
ipl,9/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Chennai Super Kings1,Dubai Daredevils1,
ipl,10/4/22,"Brabourne Stadium, Mumbai",2022,Delhi Capitals1,Kolkata Knight Riders1,
ipl,10/4/22,"Wankhede Stadium, Mumbai",2022,Rajasthan Royals1,Lucknow Super Giants1,
ipl,11/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Gujarat Titans1,Dubai Daredevils1,
ipl,12/4/22,"Dr DY Patil Sports Academy, Mumbai",2022,Chennai Super Kings1,Royal Challengers Bangalore1,
