city,venue,mapped_venue
,Adelaide Oval,"Adelaide Oval, Adelaide"
Adelaide,Adelaide Oval,"Adelaide Oval, Adelaide"
Liverpool,Aigburth,"Aigburth, Liverpool"
Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),"Al Amerat Cricket Ground Oman Cricket, Al Amarat"
Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),"Al Amerat Cricket Ground Oman Cricket, Al Amarat"
Christchurch,AMI Stadium,"AMI Stadium, Christchurch"
Port Moresby,Amini Park,"Amini Park, Port Moresby"
St Vincent,"Arnos Vale Ground, Kingstown","Arnos Vale Ground, Kingstown"
Delhi,Arun Jaitley Stadium,"Arun Jaitley Stadium, Delhi"
Delhi,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi"
,Arundel Castle Cricket Club Ground,Arundel Castle Cricket Club Ground
Launceston,Aurora Stadium,"Aurora Stadium, Launceston"
Launceston,"Aurora Stadium, Launceston","Aurora Stadium, Launceston"
Cuttack,Barabati Stadium,"Barabati Stadium, Cuttack"
Cuttack,"Barabati Stadium, Cuttack","Barabati Stadium, Cuttack"
Guwahati,Barsapara Cricket Stadium,"Barsapara Cricket Stadium, Guwahati"
Guwahati,"Barsapara Cricket Stadium, Guwahati","Barsapara Cricket Stadium, Guwahati"
Wellington,Basin Reserve,"Basin Reserve, Wellington"
Wellington,"Basin Reserve, Wellington","Basin Reserve, Wellington"
Mount Maunganui,Bay Oval,"Bay Oval, Mount Maunganui"
Mount Maunganui,"Bay Oval, Mount Maunganui","Bay Oval, Mount Maunganui"
Krefeld,Bayer Uerdingen Cricket Ground,"Bayer Uerdingen Cricket Ground, Krefeld"
St Lucia,"Beausejour Stadium, Gros Islet","Beausejour Stadium, Gros Islet, St Lucia"
Hobart,Bellerive Oval,"Bellerive Oval, Hobart"
Hobart,"Bellerive Oval, Hobart","Bellerive Oval, Hobart"
Hamilton,Bermuda National Stadium,"Bermuda National Stadium, Hamilton"
Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
Paarl,Boland Park,"Boland Park, Paarl"
Paarl,"Boland Park, Paarl","Boland Park, Paarl"
Mumbai,Brabourne Stadium,"Brabourne Stadium, Mumbai"
Mumbai,"Brabourne Stadium, Mumbai","Brabourne Stadium, Mumbai"
Derry,Bready,"Bready Cricket Club, Magheramason, Londonderry"
Londonderry,"Bready Cricket Club, Magheramason","Bready Cricket Club, Magheramason, Londonderry"
Bready,"Bready Cricket Club, Magheramason","Bready Cricket Club, Magheramason, Londonderry"
Bready,"Bready Cricket Club, Magheramason, Bready","Bready Cricket Club, Magheramason, Londonderry"
Trinidad,"Brian Lara Stadium, Tarouba","Brian Lara Stadium, Tarouba, Trinidad"
Tarouba,"Brian Lara Stadium, Tarouba, Trinidad","Brian Lara Stadium, Tarouba, Trinidad"
Brisbane,Brisbane Cricket Ground,"Brisbane Cricket Ground, Brisbane"
Brisbane,"Brisbane Cricket Ground, Woolloongabba","Brisbane Cricket Ground, Brisbane"
Brisbane,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane Cricket Ground, Brisbane"
East London,Buffalo Park,"Buffalo Park, East London"
East London,"Buffalo Park, East London","Buffalo Park, East London"
Bulawayo,Bulawayo Athletic Club,"Bulawayo Athletic Club, Bulawayo"
,Carrara Oval,"Carrara Oval, Carrara"
Carrara,Carrara Oval,"Carrara Oval, Carrara"
Dublin,"Castle Avenue, Dublin","Castle Avenue, Dublin"
Colchester,Castle Park Cricket Ground,"Castle Park Cricket Ground, Colchester"
Lauderhill,Central Broward Regional Park Stadium Turf Ground,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
Lauderhill,"Central Broward Regional Park Stadium Turf Ground, Lauderhill","Central Broward Regional Park Stadium Turf Ground, Lauderhill"
Bloemfontein,"Chevrolet Park, Bloemfontein","Chevrolet Park, Bloemfontein"
Pietermaritzburg,"City Oval, Pietermaritzburg","City Oval, Pietermaritzburg"
Belfast,"Civil Service Cricket Club, Stormont","Civil Service Cricket Club, Stormont, Belfast"
Belfast,"Civil Service Cricket Club, Stormont, Belfast","Civil Service Cricket Club, Stormont, Belfast"
Dublin,Clontarf Cricket Club Ground,"Clontarf Cricket Club Ground, Dublin"
Whangarei,"Cobham Oval (New), Whangarei","Cobham Oval (New), Whangarei"
St Peter Port,College Field,"College Field, St Peter Port"
St Peter Port,"College Field, St Peter Port","College Field, St Peter Port"
Cheltenham,College Ground,"College Ground, Cheltenham"
Cheltenham,"College Ground, Cheltenham","College Ground, Cheltenham"
Coolidge,"Coolidge Cricket Ground, Antigua","Coolidge Cricket Ground, Antigua"
Bristol,County Ground,"County Ground, Bristol"
Taunton,County Ground,"County Ground, Taunton"
Northampton,County Ground,"County Ground, Northampton"
Derby,County Ground,"County Ground, Derby"
Chelmsford,County Ground,"County Ground, Chelmsford"
Hove,County Ground,"County Ground, Hove"
